jumlah_siswa;jumlah_guru;rasio_guru_siswa;persentase_guru_bersertifikasi;rata_rata_nilai;prestasi_akademik;akreditasi;persentase_fasilitas_layak;kehadiran_siswa;persentase_lulusan_melanjutkan;status_sekolah
819;35;23.4;68.97;66.63;10;C;68.85;82.5;60.56;Tidak Unggul
807;51;15.82;81.23;79.54;16;A;71.27;89.91;80.76;Unggul
151;8;18.88;77.1;78.48;15;B;74.82;82.97;73.76;Tidak Unggul
738;25;29.52;75.65;68.17;9;B;66.44;78.96;59.24;Tidak Unggul
793;53;14.96;88.26;83.9;16;B;84.27;92.15;75.83;Unggul
239;9;26.56;61.67;67.13;9;C;68.87;85.69;78.7;Tidak Unggul
494;21;23.52;64.12;61.99;8;B;74.07;84.4;68.27;Tidak Unggul
499;19;26.26;67.65;78.22;9;B;64.13;81.43;57.82;Tidak Unggul
608;30;20.27;69.49;86.67;14;B;87.97;94.12;82.52;Unggul
412;15;27.47;79.83;68.87;9;B;69.66;80.82;64.07;Tidak Unggul
500;25;20.0;75.47;78.64;11;B;69.75;87.41;71.32;Tidak Unggul
257;10;25.7;67.0;72.27;12;B;87.42;79.4;71.99;Tidak Unggul
735;27;27.22;54.84;68.52;5;C;52.99;81.24;52.58;Tidak Unggul
188;12;15.67;77.08;78.7;15;B;82.33;89.9;87.98;Unggul
308;14;22.0;74.87;67.49;8;B;73.07;81.28;67.43;Tidak Unggul
732;35;20.91;74.34;72.3;8;B;56.97;85.89;56.21;Tidak Unggul
461;20;23.05;62.89;74.47;12;B;70.93;81.13;71.12;Tidak Unggul
390;16;24.38;84.11;72.4;13;B;69.1;84.41;80.53;Tidak Unggul
594;25;23.76;71.37;71.05;13;B;94.24;90.92;82.41;Tidak Unggul
447;15;29.8;53.44;72.14;4;C;58.3;80.92;53.84;Tidak Unggul
185;13;14.23;90.68;85.17;18;A;81.55;93.21;92.03;Unggul
233;13;17.92;67.4;77.32;13;A;81.66;89.72;76.55;Unggul
601;30;20.03;65.61;85.39;12;B;79.22;87.84;79.73;Unggul
924;51;18.12;63.4;86.03;11;B;78.89;88.16;65.49;Unggul
971;70;13.87;77.06;86.31;16;A;78.86;92.08;82.64;Unggul
534;36;14.83;82.0;83.2;14;A;90.08;85.94;72.51;Unggul
321;18;17.83;63.8;71.64;13;B;78.76;83.38;66.43;Tidak Unggul
525;19;27.63;66.84;72.77;7;B;58.82;85.93;59.17;Tidak Unggul
834;37;22.54;80.8;81.53;12;B;76.65;83.56;76.07;Unggul
511;21;24.33;80.06;68.02;11;C;74.78;87.17;63.0;Tidak Unggul
708;38;18.63;77.28;80.3;17;A;87.42;88.85;83.48;Unggul
290;16;18.12;77.09;88.43;16;A;72.87;89.06;85.85;Unggul
267;13;20.54;85.24;71.78;11;C;54.67;88.89;75.96;Tidak Unggul
426;16;26.62;73.97;75.63;6;B;52.95;80.14;72.58;Tidak Unggul
875;54;16.2;79.19;83.2;18;B;85.39;90.73;87.38;Unggul
369;28;13.18;98.16;89.05;21;A;94.94;98.95;85.94;Unggul
175;12;14.58;89.58;92.96;21;A;69.07;96.58;92.98;Unggul
670;29;23.1;72.86;86.45;11;B;76.52;89.09;78.82;Unggul
932;41;22.73;90.81;78.05;10;B;66.38;83.71;67.67;Unggul
159;8;19.88;85.84;80.67;14;A;69.41;86.8;84.64;Unggul
527;32;16.47;91.26;85.26;14;B;73.0;90.54;75.03;Unggul
782;31;25.23;55.34;75.75;9;B;65.05;82.54;64.79;Tidak Unggul
786;31;25.35;82.58;75.23;9;C;68.59;84.63;74.88;Tidak Unggul
831;45;18.47;79.41;84.42;16;A;64.95;87.49;80.38;Unggul
733;36;20.36;77.81;84.84;15;A;92.84;88.32;79.77;Unggul
301;8;37.62;62.3;60.0;5;C;64.71;75.0;64.23;Tidak Unggul
869;47;18.49;83.8;76.53;15;A;83.04;91.07;84.36;Unggul
198;8;24.75;79.92;76.38;13;B;59.23;87.74;62.11;Tidak Unggul
303;13;23.31;77.8;70.73;12;B;65.48;88.84;64.6;Tidak Unggul
442;14;31.57;54.03;65.59;3;C;59.09;75.85;58.31;Tidak Unggul
729;28;26.04;58.83;72.46;9;C;74.0;86.09;66.16;Tidak Unggul
199;10;19.9;73.57;73.17;12;B;85.46;88.12;72.74;Tidak Unggul
813;36;22.58;71.45;78.22;12;B;92.99;89.62;83.48;Unggul
680;37;18.38;78.4;70.64;15;A;80.84;84.26;85.07;Unggul
761;54;14.09;97.51;85.65;18;A;84.05;98.95;76.61;Unggul
209;11;19.0;72.78;67.38;10;B;78.7;85.74;78.19;Tidak Unggul
316;14;22.57;89.74;71.3;11;B;61.89;85.59;64.77;Tidak Unggul
351;27;13.0;96.5;90.72;21;A;90.35;90.89;86.8;Unggul
295;19;15.53;75.22;76.39;15;B;96.75;86.67;71.72;Tidak Unggul
825;52;15.87;71.45;76.41;18;A;85.83;95.26;94.28;Unggul
588;21;28.0;78.75;64.55;4;C;54.99;79.37;61.05;Tidak Unggul
391;15;26.07;62.66;65.79;9;B;54.66;87.95;72.58;Tidak Unggul
730;28;26.07;77.34;73.94;9;B;72.36;84.78;72.59;Tidak Unggul
836;36;23.22;58.86;68.18;7;B;53.0;85.22;62.79;Tidak Unggul
710;27;26.3;81.69;74.0;10;B;61.27;84.48;66.19;Tidak Unggul
632;28;22.57;77.92;80.77;12;B;61.74;77.75;64.22;Tidak Unggul
257;14;18.36;61.83;72.53;11;B;80.26;84.7;70.22;Tidak Unggul
375;19;19.74;63.59;81.82;16;B;80.02;92.69;82.45;Tidak Unggul
822;51;16.12;75.31;75.42;14;A;86.32;88.1;64.48;Unggul
780;30;26.0;69.55;75.51;6;B;68.21;81.91;70.52;Tidak Unggul
810;43;18.84;76.15;74.83;10;B;67.72;86.4;71.76;Unggul
811;43;18.86;64.07;76.83;9;B;76.55;89.67;69.79;Unggul
581;26;22.35;70.18;82.06;13;B;82.21;91.63;71.58;Tidak Unggul
954;50;19.08;63.37;71.07;17;A;90.09;85.7;74.6;Unggul
804;48;16.75;70.41;81.8;12;A;69.47;88.27;75.69;Unggul
568;27;21.04;60.87;79.04;13;B;75.67;88.23;74.76;Unggul
604;44;13.73;80.75;83.79;19;A;79.87;90.88;78.62;Unggul
309;13;23.77;75.96;83.11;12;B;76.85;85.05;86.3;Tidak Unggul
672;28;24.0;70.36;77.21;9;B;47.37;81.71;63.8;Tidak Unggul
799;37;21.59;71.13;78.27;14;B;70.43;86.38;84.21;Unggul
739;32;23.09;71.8;63.35;11;B;64.8;80.91;68.47;Tidak Unggul
226;13;17.38;91.77;81.67;18;B;81.93;90.25;84.64;Unggul
658;31;21.23;75.82;75.44;14;B;88.24;91.94;78.59;Tidak Unggul
590;24;24.58;53.94;60.0;11;C;51.02;80.83;62.75;Tidak Unggul
403;14;28.79;63.65;66.8;3;C;64.38;84.12;58.12;Tidak Unggul
919;35;26.26;71.83;76.11;6;B;66.47;86.01;61.26;Tidak Unggul
469;16;29.31;51.44;63.14;8;C;60.5;78.09;62.77;Tidak Unggul
952;62;15.35;72.37;81.6;14;A;77.62;88.99;72.64;Unggul
412;17;24.24;55.01;81.41;11;B;78.0;89.95;71.26;Tidak Unggul
746;24;31.08;57.16;67.57;5;C;59.87;78.88;57.51;Tidak Unggul
807;44;18.34;67.37;74.75;15;B;69.31;88.87;79.61;Unggul
984;69;14.26;68.29;71.24;18;A;81.06;93.89;71.61;Unggul
703;30;23.43;62.38;74.31;7;C;67.08;81.76;71.93;Tidak Unggul
523;33;15.85;79.14;83.43;14;A;72.96;90.18;75.87;Unggul
786;52;15.12;80.89;88.55;15;A;65.3;88.31;87.51;Unggul
316;11;28.73;54.5;60.0;4;C;62.59;75.63;50.0;Tidak Unggul
902;39;23.13;87.46;88.6;12;B;70.96;92.96;73.94;Unggul
608;37;16.43;80.76;76.69;15;A;59.91;91.12;77.74;Unggul
429;16;26.81;74.93;79.24;12;B;71.93;87.66;71.18;Tidak Unggul
849;32;26.53;74.64;60.0;6;C;59.3;81.84;62.9;Tidak Unggul
451;20;22.55;81.46;72.98;15;B;64.3;87.91;85.83;Tidak Unggul
680;41;16.59;78.03;79.45;19;B;77.15;89.4;79.43;Unggul
729;31;23.52;58.02;71.17;13;B;82.11;92.43;77.44;Tidak Unggul
367;17;21.59;69.93;72.2;13;B;61.86;83.35;71.79;Tidak Unggul
251;13;19.31;92.22;90.56;19;A;78.39;87.57;84.13;Unggul
703;29;24.24;77.28;71.86;9;B;74.16;83.53;62.6;Tidak Unggul
437;19;23.0;70.2;87.16;13;B;62.45;88.51;75.72;Tidak Unggul
316;17;18.59;79.92;87.72;14;A;97.36;91.65;77.61;Unggul
770;34;22.65;73.81;66.21;14;B;81.2;84.69;65.28;Tidak Unggul
185;8;23.12;64.85;72.11;11;B;84.73;84.57;70.34;Tidak Unggul
893;35;25.51;58.85;66.71;6;B;63.83;80.91;64.39;Tidak Unggul
890;40;22.25;69.87;73.32;15;B;88.95;89.01;74.98;Unggul
502;27;18.59;79.62;84.65;15;B;78.49;87.23;79.34;Unggul
825;40;20.62;66.06;81.92;15;B;73.91;93.03;84.96;Unggul
222;13;17.08;84.46;87.12;12;B;65.44;86.34;69.61;Unggul
797;41;19.44;74.64;75.46;13;B;78.46;87.27;80.31;Unggul
502;23;21.83;64.91;79.19;14;B;70.01;89.76;71.66;Unggul
219;13;16.85;87.64;79.79;14;B;75.82;92.16;83.16;Unggul
574;23;24.96;78.25;69.0;11;B;68.31;87.19;66.69;Tidak Unggul
857;64;13.39;100.0;86.0;15;B;96.0;93.68;89.66;Unggul
930;42;22.14;79.51;83.84;8;B;80.22;84.26;69.3;Unggul
710;29;24.48;63.0;78.93;11;B;77.83;89.15;71.22;Tidak Unggul
977;39;25.05;65.04;73.08;8;B;63.71;81.08;69.22;Tidak Unggul
791;38;20.82;94.48;77.11;12;B;76.57;84.6;78.29;Unggul
666;27;24.67;62.16;76.95;9;C;81.22;84.76;72.62;Tidak Unggul
577;32;18.03;72.32;89.88;15;A;88.87;93.28;91.11;Unggul
688;56;12.29;75.37;76.5;13;B;59.18;90.73;81.55;Unggul
309;17;18.18;63.6;75.58;13;B;92.73;87.95;80.7;Unggul
298;26;11.46;79.09;83.54;16;A;86.18;90.52;78.97;Unggul
925;30;30.83;56.17;64.0;5;C;62.43;83.14;60.97;Tidak Unggul
379;23;16.48;79.02;81.55;12;A;76.46;91.55;74.58;Unggul
861;33;26.09;58.88;72.23;14;B;70.99;82.99;66.37;Tidak Unggul
711;30;23.7;69.64;75.25;10;B;68.15;87.68;73.22;Unggul
216;11;19.64;66.44;78.46;11;B;62.08;88.18;75.24;Tidak Unggul
961;38;25.29;68.58;68.0;6;C;54.89;84.75;54.22;Tidak Unggul
530;39;13.59;92.73;80.69;22;A;100.0;92.33;96.28;Unggul
207;9;23.0;73.08;69.0;8;C;61.12;84.04;71.94;Tidak Unggul
408;30;13.6;86.0;83.73;15;B;89.75;90.38;81.87;Unggul
491;16;30.69;52.64;65.6;4;C;60.12;79.26;59.59;Tidak Unggul
987;35;28.2;63.76;60.0;10;B;46.01;83.22;58.42;Tidak Unggul
279;14;19.93;89.59;84.32;14;B;69.71;91.35;75.08;Tidak Unggul
876;53;16.53;80.32;76.66;16;B;72.19;93.44;64.77;Unggul
321;11;29.18;64.22;66.56;3;C;63.03;82.15;53.73;Tidak Unggul
919;52;17.67;63.93;81.01;11;B;73.24;90.36;74.67;Unggul
763;29;26.31;74.04;73.48;8;C;73.2;87.87;70.02;Tidak Unggul
358;18;19.89;55.88;84.19;10;B;70.05;86.82;66.07;Tidak Unggul
952;50;19.04;67.68;86.92;15;B;87.02;88.17;86.8;Unggul
503;22;22.86;57.8;67.73;6;B;57.32;83.7;66.29;Tidak Unggul
620;27;22.96;67.39;67.43;10;C;60.81;83.95;69.88;Tidak Unggul
947;31;30.55;60.86;62.49;6;C;58.66;81.04;60.37;Tidak Unggul
265;8;33.12;58.85;68.53;11;B;63.86;84.96;66.92;Tidak Unggul
413;24;17.21;64.35;83.64;18;A;82.08;90.19;83.74;Unggul
811;59;13.75;96.05;83.07;20;A;91.64;98.8;88.07;Unggul
961;38;25.29;69.1;76.43;9;B;71.46;83.74;64.87;Tidak Unggul
591;18;32.83;61.03;64.29;5;C;58.19;78.71;58.75;Tidak Unggul
697;53;13.15;99.83;92.3;18;B;86.04;87.92;91.12;Unggul
602;23;26.17;66.81;64.57;8;C;69.15;84.84;66.81;Tidak Unggul
994;49;20.29;66.7;71.8;12;B;80.6;84.61;86.35;Unggul
626;34;18.41;84.94;82.85;12;B;76.93;84.92;76.42;Unggul
436;17;25.65;56.58;62.64;6;C;51.46;81.86;50.0;Tidak Unggul
452;26;17.38;71.1;70.57;13;B;80.01;88.15;71.1;Tidak Unggul
460;19;24.21;65.65;79.77;10;C;76.35;82.33;66.53;Tidak Unggul
357;24;14.88;74.83;79.13;17;A;81.13;90.44;82.0;Unggul
767;33;23.24;69.87;76.5;11;B;79.01;87.19;69.02;Unggul
595;36;16.53;88.58;76.42;13;B;93.48;91.47;69.6;Unggul
819;39;21.0;67.83;82.88;13;B;76.07;87.25;74.22;Unggul
782;34;23.0;77.3;74.13;10;B;69.6;87.39;71.85;Tidak Unggul
204;15;13.6;63.29;85.02;16;A;82.16;87.32;82.62;Unggul
161;10;16.1;98.13;80.26;21;A;100.0;89.8;83.77;Unggul
806;39;20.67;86.77;77.7;10;B;76.14;90.58;78.36;Unggul
549;38;14.45;75.21;85.18;17;A;80.72;96.93;82.86;Unggul
797;33;24.15;70.74;70.34;10;C;61.04;89.27;67.76;Tidak Unggul
664;36;18.44;79.6;72.38;12;B;73.36;90.12;73.9;Unggul
805;37;21.76;69.62;77.13;13;B;75.75;88.32;64.23;Unggul
691;34;20.32;93.06;78.94;15;A;84.83;91.52;78.59;Unggul
386;21;18.38;75.01;83.77;11;B;76.67;89.77;68.41;Unggul
428;30;14.27;79.84;89.33;17;A;86.96;98.27;83.56;Unggul
497;24;20.71;76.7;75.42;12;A;79.4;86.68;73.87;Unggul
776;43;18.05;67.01;75.04;12;B;75.7;85.48;78.88;Tidak Unggul
253;14;18.07;74.78;80.43;12;A;86.08;85.4;71.62;Unggul
779;27;28.85;52.95;66.52;3;C;49.15;82.85;67.83;Tidak Unggul
666;28;23.79;63.56;79.78;13;B;86.1;85.64;67.04;Tidak Unggul
397;26;15.27;90.71;85.15;17;A;97.77;90.95;84.29;Unggul
513;33;15.55;68.07;84.09;17;A;92.02;85.9;84.9;Unggul
470;35;13.43;93.45;72.57;14;A;74.68;88.06;78.12;Unggul
782;51;15.33;82.97;77.35;17;B;82.21;92.16;87.88;Unggul
435;23;18.91;94.35;86.21;17;B;75.81;85.42;71.08;Unggul
298;16;18.62;81.16;71.31;13;B;68.23;84.78;75.68;Tidak Unggul
233;18;12.94;77.2;79.98;20;A;88.55;95.06;87.18;Unggul
555;42;13.21;87.62;91.49;19;A;88.7;93.86;93.42;Unggul
605;43;14.07;62.13;77.22;15;B;75.43;85.51;77.86;Unggul
892;56;15.93;69.29;75.24;13;B;78.61;86.66;80.61;Unggul
949;63;15.06;80.37;75.78;17;A;90.36;90.87;88.3;Unggul
310;14;22.14;67.9;69.47;14;B;81.24;88.61;81.96;Tidak Unggul
933;46;20.28;74.37;78.31;14;A;83.22;91.63;81.89;Unggul
609;41;14.85;77.63;83.67;15;A;84.71;92.02;93.56;Unggul
699;31;22.55;86.67;79.29;13;C;66.86;88.98;64.2;Unggul
649;33;19.67;71.48;73.76;13;B;74.22;84.53;69.75;Tidak Unggul
887;55;16.13;87.6;82.49;15;A;92.87;89.02;81.4;Unggul
658;49;13.43;79.26;80.29;14;B;92.27;85.27;81.95;Unggul
803;40;20.08;78.91;67.7;15;B;67.92;90.81;78.79;Tidak Unggul
953;41;23.24;48.96;67.87;7;B;65.65;83.09;63.34;Tidak Unggul
630;42;15.0;89.39;81.99;13;B;70.72;84.42;83.16;Unggul
812;55;14.76;72.54;81.09;16;B;68.61;90.77;63.25;Unggul
263;13;20.23;80.13;78.65;13;B;81.52;88.85;77.55;Unggul
898;50;17.96;88.1;86.31;15;A;90.66;90.91;77.39;Unggul
727;47;15.47;61.82;70.74;14;B;76.46;86.99;79.94;Unggul
510;18;28.33;67.79;68.62;12;C;64.73;80.97;61.78;Tidak Unggul
490;17;28.82;65.28;72.65;11;C;59.63;82.35;63.54;Tidak Unggul
919;43;21.37;72.74;76.01;10;B;59.2;86.78;74.27;Unggul
910;37;24.59;66.58;70.52;8;B;76.32;91.2;72.52;Tidak Unggul
598;38;15.74;77.31;87.81;14;A;79.16;88.29;87.42;Unggul
992;66;15.03;69.43;74.15;14;A;75.03;89.52;69.68;Unggul
984;48;20.5;87.68;77.71;14;A;83.68;88.81;80.87;Unggul
329;22;14.95;84.98;79.45;18;A;67.73;89.75;88.45;Unggul
851;38;22.39;66.31;63.21;8;B;65.8;79.74;62.47;Tidak Unggul
556;17;32.71;49.42;66.67;6;C;63.9;84.79;53.7;Tidak Unggul
815;29;28.1;59.58;68.21;5;C;57.76;84.43;62.23;Tidak Unggul
345;16;21.56;65.42;65.48;8;B;83.83;86.19;59.59;Tidak Unggul
615;28;21.96;83.05;78.53;17;B;68.48;87.63;74.89;Unggul
460;19;24.21;47.99;64.56;7;C;66.34;83.05;57.7;Tidak Unggul
411;13;31.62;53.31;67.28;8;B;54.42;85.42;61.17;Tidak Unggul
568;33;17.21;97.93;92.06;19;A;88.18;85.81;91.36;Unggul
555;44;12.61;74.28;82.96;15;A;74.02;92.72;85.63;Unggul
292;21;13.9;64.76;82.19;17;B;89.2;93.36;87.4;Unggul
491;23;21.35;60.3;80.9;10;B;69.61;85.62;69.11;Tidak Unggul
465;25;18.6;64.25;71.94;10;B;58.87;83.55;72.55;Tidak Unggul
250;12;20.83;72.37;74.79;9;B;69.33;81.66;74.48;Tidak Unggul
393;16;24.56;76.5;72.45;13;B;68.62;87.35;65.37;Tidak Unggul
639;37;17.27;74.17;87.47;20;B;82.97;91.98;91.11;Unggul
161;8;20.12;73.49;74.69;12;B;65.02;91.66;80.99;Tidak Unggul
388;30;12.93;86.37;81.98;15;A;95.57;94.48;88.78;Unggul
710;25;28.4;70.48;67.93;8;B;59.16;82.07;63.89;Tidak Unggul
191;8;23.88;60.62;67.9;13;B;68.18;80.48;65.88;Tidak Unggul
827;26;31.81;51.34;60.0;4;C;51.99;76.04;59.15;Tidak Unggul
743;28;26.54;80.79;71.13;8;C;62.62;79.47;58.61;Tidak Unggul
578;33;17.52;70.06;72.52;11;A;72.7;85.35;71.23;Unggul
952;68;14.0;99.85;86.96;18;A;90.04;95.76;88.66;Unggul
307;14;21.93;74.47;75.46;14;B;85.4;86.15;71.66;Tidak Unggul
365;11;33.18;72.72;61.84;9;C;63.91;79.08;61.11;Tidak Unggul
819;53;15.45;87.55;82.08;17;A;97.67;93.94;76.78;Unggul
611;48;12.73;87.3;77.81;21;A;77.25;93.04;90.98;Unggul
283;12;23.58;64.19;66.03;6;C;73.12;80.16;64.49;Tidak Unggul
216;11;19.64;64.82;85.29;11;B;84.32;85.88;70.52;Unggul
997;51;19.55;77.17;78.11;14;B;89.27;90.95;82.29;Unggul
156;8;19.5;64.88;67.5;10;C;87.34;84.45;68.7;Tidak Unggul
675;39;17.31;80.72;82.22;19;A;65.48;90.87;81.21;Unggul
222;16;13.88;78.75;91.2;18;B;67.38;88.3;86.87;Unggul
548;22;24.91;65.67;67.25;7;C;65.63;81.11;65.13;Tidak Unggul
554;24;23.08;75.03;66.19;14;B;54.46;86.36;77.92;Tidak Unggul
824;26;31.69;63.71;60.72;6;B;49.67;84.78;61.97;Tidak Unggul
727;39;18.64;83.18;76.41;13;A;75.45;91.23;79.45;Unggul
279;25;11.16;82.33;90.59;18;A;84.34;91.78;95.95;Unggul
615;24;25.62;66.62;72.94;9;B;52.32;79.23;67.35;Tidak Unggul
355;19;18.68;97.59;85.41;16;B;74.33;91.14;73.95;Unggul
937;57;16.44;64.94;80.78;11;B;82.22;88.49;73.58;Unggul
917;34;26.97;54.99;64.74;3;B;62.49;75.66;65.52;Tidak Unggul
415;25;16.6;59.79;64.24;11;B;81.88;90.06;82.61;Tidak Unggul
686;40;17.15;77.18;85.2;13;B;73.32;79.99;74.49;Unggul
942;67;14.06;79.48;74.19;15;A;91.05;87.58;77.56;Unggul
402;27;14.89;83.61;95.0;19;A;99.53;97.06;88.77;Unggul
971;49;19.82;66.35;73.08;12;A;76.79;95.91;70.95;Unggul
438;18;24.33;56.02;64.06;12;C;59.02;84.38;63.03;Tidak Unggul
313;9;34.78;55.86;60.0;1;C;55.16;77.22;50.0;Tidak Unggul
244;8;30.5;45.0;62.96;4;C;46.22;79.65;63.86;Tidak Unggul
931;58;16.05;84.79;73.33;15;A;76.92;83.6;80.72;Unggul
982;72;13.64;65.79;75.11;15;B;83.7;87.95;76.54;Unggul
259;21;12.33;82.59;89.71;16;A;89.1;87.96;88.08;Unggul
485;31;15.65;74.92;87.43;16;B;84.37;93.37;83.66;Unggul
971;43;22.58;66.93;69.22;10;B;59.32;88.54;63.56;Tidak Unggul
387;16;24.19;57.83;76.21;10;B;77.58;87.92;67.84;Tidak Unggul
530;25;21.2;68.81;70.71;8;B;65.99;87.69;68.45;Tidak Unggul
585;36;16.25;65.39;80.55;13;B;74.97;86.67;69.89;Tidak Unggul
632;38;16.63;77.11;74.31;14;A;71.97;88.68;75.55;Unggul
174;8;21.75;59.25;73.92;13;B;78.3;81.28;64.03;Tidak Unggul
802;54;14.85;76.18;78.6;12;B;67.83;89.21;74.46;Unggul
266;13;20.46;61.85;76.61;13;B;77.35;88.68;75.26;Tidak Unggul
631;18;35.06;65.03;64.0;3;C;47.41;80.51;56.52;Tidak Unggul
541;27;20.04;88.7;89.16;15;A;89.79;87.53;73.43;Unggul
686;30;22.87;61.36;70.15;9;B;67.73;83.57;70.61;Tidak Unggul
228;9;25.33;92.29;75.33;12;B;62.36;85.64;73.26;Tidak Unggul
729;45;16.2;87.92;83.92;17;B;84.77;92.35;81.97;Unggul
322;16;20.12;69.5;75.72;12;B;66.36;83.73;72.96;Tidak Unggul
161;14;11.5;77.87;89.53;16;A;90.77;89.95;83.79;Unggul
949;68;13.96;77.04;88.8;18;A;100.0;90.07;95.09;Unggul
277;15;18.47;75.69;75.53;17;A;71.97;96.92;79.04;Unggul
757;26;29.12;58.85;68.53;4;C;71.34;84.02;61.54;Tidak Unggul
241;13;18.54;70.27;82.56;10;B;81.74;85.84;59.79;Tidak Unggul
802;42;19.1;62.44;75.77;15;B;72.63;88.94;76.69;Unggul
692;23;30.09;68.38;68.31;4;C;63.46;83.91;55.48;Tidak Unggul
995;40;24.88;78.66;62.07;13;A;75.82;91.74;75.38;Unggul
681;24;28.38;79.21;64.71;8;B;64.9;84.05;66.12;Tidak Unggul
807;48;16.81;75.89;88.34;10;B;70.6;84.75;74.3;Unggul
977;38;25.71;71.64;72.43;7;C;69.58;85.87;64.75;Tidak Unggul
596;41;14.54;66.18;80.04;12;B;73.78;89.59;81.91;Unggul
539;25;21.56;80.56;87.8;13;A;85.51;87.65;76.34;Unggul
821;65;12.63;74.52;83.53;22;A;84.87;97.44;90.06;Unggul
192;8;24.0;55.71;75.13;6;B;80.93;80.43;69.13;Tidak Unggul
403;19;21.21;91.52;70.89;10;B;63.78;81.87;73.6;Unggul
279;14;19.93;76.51;81.92;18;B;100.0;94.33;77.63;Unggul
209;11;19.0;70.84;66.67;13;B;69.55;87.57;74.55;Tidak Unggul
812;46;17.65;80.33;75.85;15;B;82.62;90.62;75.17;Unggul
616;24;25.67;63.16;75.39;7;B;72.09;76.82;57.39;Tidak Unggul
436;13;33.54;47.2;60.0;2;C;56.85;79.44;57.63;Tidak Unggul
666;21;31.71;47.47;64.82;3;C;64.48;79.1;53.46;Tidak Unggul
616;37;16.65;90.65;82.95;18;A;81.92;92.0;77.47;Unggul
927;37;25.05;69.99;74.24;7;C;58.86;83.48;62.16;Tidak Unggul
494;19;26.0;69.71;72.14;9;B;64.12;80.61;66.83;Tidak Unggul
791;40;19.77;77.45;72.81;14;B;80.46;91.86;75.44;Unggul
531;41;12.95;86.99;82.88;21;A;84.54;96.72;88.34;Unggul
928;39;23.79;67.0;69.5;7;C;70.2;83.33;70.17;Tidak Unggul
839;30;27.97;60.03;63.29;5;C;49.12;78.26;62.55;Tidak Unggul
402;22;18.27;68.59;65.08;9;B;74.91;86.42;76.79;Tidak Unggul
205;11;18.64;75.85;82.61;15;A;77.25;90.15;84.49;Unggul
612;28;21.86;71.38;73.8;7;B;69.9;81.23;65.41;Tidak Unggul
606;37;16.38;85.33;68.06;14;B;76.35;90.99;63.67;Unggul
232;10;23.2;55.07;76.98;9;B;62.09;84.16;66.81;Tidak Unggul
248;11;22.55;83.76;67.73;8;C;66.67;83.19;77.57;Tidak Unggul
298;19;15.68;91.3;88.25;21;A;84.19;96.24;92.17;Unggul
478;13;36.77;66.17;66.91;7;B;70.74;86.68;61.22;Tidak Unggul
305;17;17.94;64.53;77.71;12;B;81.59;87.38;71.85;Tidak Unggul
339;12;28.25;52.48;65.13;6;C;60.1;75.36;64.67;Tidak Unggul
643;37;17.38;83.4;85.19;17;B;81.29;91.87;74.73;Unggul
412;24;17.17;78.2;78.96;14;A;83.98;89.38;81.27;Unggul
229;8;28.62;54.68;73.78;6;C;73.45;81.55;58.72;Tidak Unggul
549;28;19.61;68.14;85.16;12;B;89.2;89.46;82.38;Tidak Unggul
913;67;13.63;76.25;83.32;19;A;82.52;90.03;84.12;Unggul
758;33;22.97;68.77;76.98;15;B;67.05;83.86;81.92;Unggul
409;24;17.04;78.96;82.24;13;A;86.35;89.6;76.41;Unggul
921;42;21.93;61.77;63.67;10;C;83.9;82.87;81.18;Tidak Unggul
764;57;13.4;91.56;81.9;19;A;88.5;92.77;89.23;Unggul
701;33;21.24;64.06;74.21;14;B;77.35;90.52;80.6;Tidak Unggul
934;71;13.15;93.01;88.92;20;A;100.0;87.21;93.45;Unggul
250;10;25.0;93.72;74.15;11;C;61.84;84.21;79.19;Tidak Unggul
508;35;14.51;86.4;88.47;18;A;79.91;88.08;81.07;Unggul
529;21;25.19;61.94;77.07;9;B;62.17;79.31;68.02;Tidak Unggul
969;41;23.63;61.04;60.23;10;B;66.13;83.27;67.81;Tidak Unggul
370;16;23.12;62.7;66.92;11;B;81.41;85.06;79.31;Tidak Unggul
969;49;19.78;79.46;74.86;10;C;62.23;87.98;76.67;Unggul
569;37;15.38;75.69;69.77;11;B;84.31;89.19;67.07;Unggul
273;14;19.5;65.47;72.1;15;B;75.43;92.49;75.14;Tidak Unggul
571;19;30.05;47.12;61.31;6;B;62.6;75.0;62.7;Tidak Unggul
380;14;27.14;45.99;60.0;5;C;45.0;80.99;68.96;Tidak Unggul
839;64;13.11;86.98;77.57;17;A;66.71;91.83;80.69;Unggul
212;10;21.2;62.12;77.67;10;B;70.23;82.04;74.36;Tidak Unggul
634;28;22.64;76.52;71.45;13;B;81.27;85.24;68.74;Tidak Unggul
777;35;22.2;61.05;77.9;7;C;74.88;84.11;67.15;Tidak Unggul
852;60;14.2;83.03;76.51;12;B;65.83;89.24;74.74;Unggul
723;43;16.81;73.86;81.5;13;A;86.58;90.59;75.02;Unggul
917;57;16.09;84.58;76.94;13;B;83.08;90.66;78.14;Unggul
632;22;28.73;50.49;62.38;2;C;60.49;80.84;58.26;Tidak Unggul
668;29;23.03;62.56;70.79;10;B;87.88;80.88;77.14;Tidak Unggul
304;12;25.33;60.05;71.74;11;C;59.44;80.28;60.35;Tidak Unggul
241;11;21.91;72.07;73.94;8;C;74.08;82.11;73.64;Tidak Unggul
675;30;22.5;66.43;88.38;14;B;77.12;87.81;80.37;Unggul
